Block SCALES
1 10000	# UV scale [GeV]
1 2 3 2 0.000000	# qq3(1,2,3,2)
1 2 3 3 0.000000	# qq3(1,2,3,3)
1 3 1 3 0.000134	# qq3(1,3,1,3)
1 3 2 2 -0.001852	# qq3(1,3,2,2)
1 3 2 3 -0.000345	# qq3(1,3,2,3)
1 3 3 1 0.000134	# qq3(1,3,3,1)
1 3 3 2 -0.000345	# qq3(1,3,3,2)
1 3 3 3 0.006442	# qq3(1,3,3,3)
2 2 2 2 0.000000	# qq3(2,2,2,2)
2 2 2 3 0.000000	# qq3(2,2,2,3)
2 2 3 3 0.000000	# qq3(2,2,3,3)
2 3 2 3 0.000000	# qq3(2,3,2,3)
2 3 3 2 0.000000	# qq3(2,3,3,2)
2 3 3 3 0.000000	# qq3(2,3,3,3)
3 3 3 3 0.000000	# qq3(3,3,3,3)
Block IMWCQQ3
1 1 1 2 0.000000	# qq3(1,1,1,2)
1 1 1 3 0.000000	# qq3(1,1,1,3)
1 1 2 3 0.000000	# qq3(1,1,2,3)
1 2 1 2 0.000000	# qq3(1,2,1,2)
1 2 1 3 0.000000	# qq3(1,2,1,3)
1 2 2 2 0.000000	# qq3(1,2,2,2)
1 2 2 3 0.000000	# qq3(1,2,2,3)
1 2 3 1 -1.180992E-6	# qq3(1,2,3,1)
1 2 3 2 0.000000	# qq3(1,2,3,2)
1 2 3 3 0.000000	# qq3(1,2,3,3)
1 3 1 3 0.000000	# qq3(1,3,1,3)
1 3 2 2 -1.180992E-6	# qq3(1,3,2,2)
1 3 2 3 0.000000	# qq3(1,3,2,3)
1 3 3 2 0.000000	# qq3(1,3,3,2)
1 3 3 3 0.000054	# qq3(1,3,3,3)
2 2 2 3 0.000000	# qq3(2,2,2,3)
2 3 2 3 6.276712E-6	# qq3(2,3,2,3)
2 3 3 3 0.000000	# qq3(2,3,3,3)
Block WCLQ1
1 1 1 1 0.000000	# lq1(1,1,1,1)
1 1 1 2 0.000000	# lq1(1,1,1,2)
1 1 1 3 0.000000	# lq1(1,1,1,3)
1 1 2 2 0.000000	# lq1(1,1,2,2)
1 1 2 3 0.000000	# lq1(1,1,2,3)
1 1 3 3 0.000000	# lq1(1,1,3,3)
1 2 1 1 0.000000	# lq1(1,2,1,1)
1 2 1 2 0.000000	# lq1(1,2,1,2)
1 2 1 3 0.000000	# lq1(1,2,1,3)
1 2 2 1 0.000000	# lq1(1,2,2,1)
1 2 2 2 0.000000	# lq1(1,2,2,2)
1 2 2 3 0.000000	# lq1(1,2,2,3)
1 2 3 1 0.000000	# lq1(1,2,3,1)
1 2 3 2 0.000000	# lq1(1,2,3,2)
1 2 3 3 0.000000	# lq1(1,2,3,3)
1 3 1 1 0.000000	# lq1(1,3,1,1)
1 3 1 2 0.000000	# lq1(1,3,1,2)
1 3 1 3 0.000000	# lq1(1,3,1,3)
1 3 2 1 0.000000	# lq1(1,3,2,1)
1 3 2 2 0.000000	# lq1(1,3,2,2)
1 3 2 3 0.000000	# lq1(1,3,2,3)
1 3 3 1 0.000000	# lq1(1,3,3,1)
1 3 3 2 0.000000	# lq1(1,3,3,2)
1 3 3 3 0.000000	# lq1(1,3,3,3)
2 2 1 1 0.000000	# lq1(2,2,1,1)
2 2 1 2 0.000000	# lq1(2,2,1,2)
2 2 1 3 0.000000	# lq1(2,2,1,3)
2 2 2 2 0.000000	# lq1(2,2,2,2)
2 2 2 3 0.000000	# lq1(2,2,2,3)
2 2 3 3 0.000000	# lq1(2,2,3,3)
2 3 1 1 0.000000	# lq1(2,3,1,1)
2 3 1 2 0.000000	# lq1(2,3,1,2)
2 3 1 3 0.000000	# lq1(2,3,1,3)
2 3 2 1 0.000000	# lq1(2,3,2,1)
2 3 2 2 0.000000	# lq1(2,3,2,2)
2 3 2 3 0.000000	# lq1(2,3,2,3)
2 3 3 1 0.000000	# lq1(2,3,3,1)
2 3 3 2 0.000000	# lq1(2,3,3,2)
2 3 3 3 0.000000	# lq1(2,3,3,3)
3 3 1 1 0.000000	# lq1(3,3,1,1)
3 3 1 2 0.000000	# lq1(3,3,1,2)
3 3 1 3 0.000000	# lq1(3,3,1,3)
3 3 2 2 0.000000	# lq1(3,3,2,2)
3 3 2 3 0.000000	# lq1(3,3,2,3)
3 3 3 3 0.000000	# lq1(3,3,3,3)
Block IMWCLQ1
1 1 1 2 0.000000	# lq1(1,1,1,2)
1 1 1 3 0.000000	# lq1(1,1,1,3)
1 1 2 3 0.000000	# lq1(1,1,2,3)
1 2 1 1 0.000000	# lq1(1,2,1,1)
1 2 1 2 0.000000	# lq1(1,2,1,2)
1 2 1 3 0.000000	# lq1(1,2,1,3)
1 2 2 1 0.000000	# lq1(1,2,2,1)
